	microarray_data_1.CEL
10338001	11.3579117109332
10338003	9.48921880919785
10338004	8.62968258648539
10338017	12.102619223237
10338025	8.07762841327894
10338026	12.5349439596623
10338029	8.99705178029437
10338035	8.28857319916144
10338036	8.64434796790329
10338037	2.11475495242548
10338041	10.5054513177937
10338042	9.44012774691906
10338044	11.5906260012078
10338047	9.98325786165887
10338056	1.59465895329248
10338059	12.4565306381387
10338060	3.66618283314892
10338063	1.76316114251822
10338064	9.67980794825885
10338065	10.289657570774
10338066	9.17912911865931
10338067	11.07794160611
10338068	2.90385920903766
10338069	1.43257104318997
10338070	2.04146141924542
10338071	1.44653598874942
10338072	1.20373001814505
10338073	1.68479778701703
10338074	5.43163829647052
10338075	3.32606687564861
10338076	5.16052094476321
10338077	7.54965528013987
10338078	0.993369256832808
10338079	1.71216964811044
10338080	2.13175005972889
10338081	3.21270633137182
10338082	2.20459170683287
10338083	2.20459170683287
10338084	1.89013131514074
10338085	8.02510990291409
10338086	2.36800983976939
10338087	1.21114247633172
10338088	0.856827678685009
10338089	1.96395049830518
10338090	3.31092690607833
10338091	3.53108135187122
10338092	3.24268693526956
10338093	2.98156411308666
10338094	4.62084616255513
10338095	3.47664233472429
10338096	3.35548938650247
10338097	0.730993011098397
10338098	4.56599413642911
10338099	2.29426553557556
10338100	0.930451923039502
10338101	2.46148772449619
10338102	2.11475495242548
10338103	4.01057168132804
10338104	3.03663407757887
10338105	3.0636558221973
10338106	3.80643956993312
10338107	4.10701399989805
10338108	2.20459170683287
10338109	1.76316114251822
10338110	1.20373001814505
10338111	6.48280596059849
10338112	3.03663407757887
10338113	2.75026487654712
10338114	1.36228489413654
10338115	1.37643752599584
10338116	5.66891160666034
10338117	5.25486773202307
10338118	1.52035517191385
10338119	2.86962097116346
10338120	7.03129470327111
10338121	1.93617686867235
10338122	1.83929758930601
10338123	6.28811005114459
10338124	1.99909420246566
10338125	0.944709779348791
10338126	0.993369256832808
10338127	3.95984439628041
10338128	4.73702549240569
10338129	6.23741684452402
10338130	1.37643752599584
10338131	1.44653598874942
10338132	1.43257104318997
10338133	1.77366299780772
10338134	7.32263112782461
10338135	3.7981004629639
10338136	3.55027605508279
10338137	2.38410228998295
10338138	6.74212480057834
10338139	3.61698071853314
10338140	0.856827678685009
10338141	2.11475495242548
10338142	3.12234192989195
10338143	1.13363155539147
10338144	3.72062185029585
10338145	1.57562806996264
10338146	1.77638025551271
10338147	7.26136877296908
10338148	3.13652637722398
10338149	1.59465895329248
10338150	6.40315458377293
10338151	3.27674070109178
10338152	1.52035517191385
10338153	1.27754920130949
10338154	4.22392718779842
10338155	3.38234666398571
10338156	1.5978660928541
10338157	1.97583916745381
10338158	1.36228489413654
10338159	1.71216964811044
10338160	4.76262011307194
10338161	4.8815860765767
10338162	3.82342177382765
10338163	5.34473372522932
10338164	3.38050589279554
10338165	0.793910344891703
10338166	5.84472257270649
10338167	0.923270794079236
10338168	2.37939601538555
10338169	1.80184347685312
10338170	1.85470695285898
10338171	1.37643752599584
10338172	3.49003653786917
10338173	2.35983643974481
10338174	3.51048535670725
10338175	1.36228489413654
10338176	5.67836242456309
10338177	2.68485991036763
10338178	2.29368816307248
10338179	5.01354409085301
10338180	6.59251272931436
10338181	1.36228489413654
10338182	1.76316114251822
10338183	0.989713909473463
10338184	2.71467198783357
10338185	1.59465895329248
10338186	3.20443363900259
10338187	1.68479778701703
10338188	2.98030564719459
10338189	3.45293329618235
10338190	3.11184134156459
10338191	2.20540032478486
10338192	2.65035179530087
10338193	2.45226093438226
10338194	1.85009283668116
10338195	5.60423207551408
10338196	6.54106698740415
10338197	4.11608848478901
10338198	2.29426553557556
10338199	1.77638025551271
10338200	1.86349975221512
10338201	2.20540032478486
10338202	5.34301043373131
10338203	5.1307128195971
10338204	3.3966347583914
10338205	2.04146141924542
10338206	1.98783241381088
10338207	1.21114247633172
10338208	3.05443466811334
10338209	5.4906306760517
10338210	5.54493404058942
10338211	3.64973836673925
10338212	1.43610407730098
10338213	7.20078334176021
10338214	5.95926234294685
10338215	2.29030493572039
10338216	3.74632633828629
10338217	6.05916095867866
10338218	1.98783241381088
10338219	3.05443466811334
10338220	0.86035346028593
10338221	8.61381448962294
10338222	1.20373001814505
10338223	3.8258106205322
10338224	3.69720918835633
10338225	1.85470695285898
10338226	1.35506012224973
10338227	3.43973209867425
10338228	4.7758956470846
10338229	2.55035293528689
10338230	1.22574331598874
10338231	5.51231282904772
10338232	1.36228489413654
10338233	2.43313714154754
10338234	2.29368816307248
10338235	1.94454370726637
10338236	1.51271073616933
10338237	5.56628937004843
10338238	2.45226093438226
10338239	2.44088039479607
10338240	1.20373001814505
10338241	1.44653598874942
10338242	1.5978660928541
10338243	1.43257104318997
10338244	5.96547940269685
10338245	0.734349018036553
10338246	1.55223443094947
10338247	1.21114247633172
10338248	0.86035346028593
10338249	3.58183110496064
10338250	2.29442846124027
10338251	3.65404759155382
10338252	1.12991083498061
10338253	1.39692610476455
10338254	5.50454490113566
10338255	1.35506012224973
10338256	0.923270794079236
10338257	4.78716175811519
10338258	3.84048776111264
10338259	2.11475495242548
10338260	2.38255337386317
10338261	1.68479778701703
10338262	1.28124093908529
10338263	1.87566266001756
10338264	1.37643752599584
10338265	1.77366299780772
10338266	1.21114247633172
10338267	1.44653598874942
10338268	1.62233289370304
10338269	1.69615207686748
10338270	3.01669270152528
10338271	1.77366299780772
10338272	3.35548938650247
10338273	3.69388081817807
10338274	2.90385920903766
10338275	5.48176767924063
10338276	2.20459170683287
10338277	3.51988512757737
10338278	1.85009283668116
10338279	3.35500909807827
10338280	4.81317533413754
10338281	2.81815135672458
10338282	5.19361746093057
10338283	6.97350340071087
10338284	1.68479778701703
